id,activity,sector,use
806953,Embroidery,Arts,"to purchase more spools of threads, measuring tape, embroidery scissors, frames and tracing paper"
1126474,Pigs,Agriculture,"to buy pigs, potatoes, feed, vitamins, and whey."
1069426,Fruits & Vegetables,Food,"to purchase additional pineapple, squash, bananas, watermelon, and other fresh fruits and vegetables to sell to her local market."
873610,Used Clothing,Clothing,to buy more clothes and shoes.
1263003,Farming,Agriculture,to purchase improved farm inputs that will increase farm yield
1021222,Farming,Agriculture,to buy fertilizer and pay for the plowing fee for her farmland.
973490,Poultry,Agriculture,"to purchase more chicks, chick feeds, and medicine."
995705,General Store,Retail,"to buy items to sell like beverages, canned goods, snack foods, home care products, and other groceries."
1054025,Farming,Agriculture,To buy mineral fertilizers
976914,Personal Expenses,Personal Use,"to buy food and clothing, eliminating pressure to sell maize for low prices at harvest."
793138,Fish Selling,Food,buy fresh fish
1169480,General Store,Retail,"to buy additional items like canned goods, biscuits, bread, detergent soap, sugar, etc. to sell"
1011886,Dairy,Agriculture,to buy fodder that will boost productivity thus more income.
868838,Farming,Agriculture,"to buy chemicals, fertilizer, bush knives, seeds, a rake, etc."
1135513,General Store,Retail,to purchase additional stock for her general store.
833002,Grocery Store,Food,to increase his merchandise with special-offer products that will raise both his sales and income.
1265409,Used Clothing,Clothing,"to buy a mixed bundle of clothing as well as creams, perfume, shampoo, and lotions"
1154019,Clothing Sales,Clothing,to purchase more merchandise to start her business selling shoes and clothes in order to support her family.
1206031,Agriculture,Agriculture,to buy mineral fertilizers and potato seeds.
1047533,Fish Selling,Food,to purchase more stock of fresh fish from the lake for sale that will earn her more income to support her family.
736198,Retail,Retail,"to buy merchandise such as shoes, costume jewelry, and handbags"
752964,Phone Accessories,Retail,to buy more phone accessories for sale.
668852,Milk Sales,Food,to buy a buffalo
707538,Food Production/Sales,Food,to buy condiments.
1162055,General Store,Retail,"to buy items to sell like canned goods, eggs, home care products, and other groceries."
668582,Fish Selling,Food,to purchase additional fish to resell
1180058,Charcoal Sales,Retail,to buy more stocks of charcoal to sell.
789601,Pigs,Agriculture,to buy pigs to raise.
1328855,Personal Products Sales,Retail,"to buy creams, perfumes, jewelry, clothing, and other products."
722228,Clothing,Clothing,"To buy jeans, cosmetics, and bags to sell to customers."
1210887,Services,Services,"to purchase a better machine, buy raw paddy, and employ labor for her processed paddy–selling business."
919954,Dairy,Agriculture,to buy a dairy cow
671035,Primary/secondary school costs,Education,to pay school fees for her children.
1172795,Crafts,Arts,"to buy supplies to make handicrafts such as: fabrics, bottles, paints, threads, plastic, and accessories such as buttons, pearls, and ribbons among other items"
1214131,Higher education costs,Education,to buy a laptop for his studies.
1053626,Tailoring,Services,to buy a greater variety of cloth and spools of thread in various colors.
1115744,Farming,Agriculture,"to purchase seeds, manure, herbicides, fertilizers, and pay workers."
1284847,Agriculture,Agriculture,to purchase agricultural supplies to cultivate corn.
871294,Food Market,Food,"To purchase onions, eggs and rice"
1268992,Embroidery,Arts,to buy raw materials for her embroidery business.
939794,Pigs,Agriculture,to buy additional piglets for fattening.
1205067,Agriculture,Agriculture,to pay for the maintenance of his corn shelling machine.
665474,Food Production/Sales,Food,to buy a food cart to make chips and to buy some ingredients.
1117377,Poultry,Agriculture,to purchase baby poultry to raise and sell in the future.
1041777,Tailoring,Services,to buy clothing material and dresses to sell in his tailoring workshop.
1001675,Poultry,Agriculture,to increase her capacity from 50 to 300 chickens every forty days.
1146027,Retail,Retail,"to buy stocks like rice, beverages and medicines"
688106,Personal Housing Expenses,Housing,"to purchase sand, cement and brick to build toilet ."
822875,Home Appliances,Personal Use,to purchase TerraClear water filters so they can have access to safe drinking water.
989946,Higher education costs,Education,to pay her daughter's tuition fees for a BSc. in Elementary Education
1263585,General Store,Retail,to purchase additional stocks of household goods to sell
1194121,Personal Housing Expenses,Housing,to build a clean water sources facility at her home to improve access to water sources for her family.
951935,Food Production/Sales,Food,"to buy corn, flour, sugar, oil, eggs, meat, rice and other ingredients to make tamales and bread to sell."
820605,Farming,Agriculture,"to purchase a polyethylene cover for the greenhouse, fertilizer, and seeds for cultivation."
1120195,General Store,Retail,"to buy items to sell like condiments, home care products, and other groceries."
1043238,Farming,Agriculture,"to buy seedlings, fertilizer for his land also fodder for his farm cattle"
823971,Personal Housing Expenses,Housing,"to buy cement, sand, doors, grills, glass for the windows and pay for labor."
1127086,Poultry,Agriculture,to purchase fruit and some chicks
872730,Livestock,Agriculture,to purchase 16 sheep for fattening up and subsequent resale.
1050009,Farming,Agriculture,to purchase a solar light and gain access to cost-efficient hybrid seeds and fertilizer for maize cultivation.
1155996,Services,Services,"Holistic therapies are unconventional therapies that are not covered by insurance and access for patients is more limited, that's why we must maintain a constant marketing campaign. In this way we will make this practice an option within the reach of every budget"
1244191,General Store,Retail,"to buy supplies such as: rice, sugar, candy, and drinks for her store."
1324026,Services,Services,to buy a new air compressor.
731022,General Store,Retail,"to buy more stocks of beverages, assorted candies, seasonings, breads, soft drinks and frozen foods to resell."
1322315,General Store,Retail,"to buy items to sell like canned goods, personal care products, and other snack foods."
1284335,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.
1177083,Beauty Salon,Services,"to buy dyes, creams, shampoo, rinses, and other hair products."
816245,General Store,Retail,"to purchase additional stock to sell like sardines, soft drinks, noodles, etc."
729082,Auto Repair,Services,"To purchase additional bronze rods, flux, copper and other accessories and materials"
680800,Personal Housing Expenses,Housing,"to buy house building materials like iron corrugated sheets, sand, nails, cement and iron rods for the construction of a dwelling house for his family"
1163654,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.
1200375,Services,Services, to design and develop the Toy-cycle.org website to grow our community. 
1042194,Personal Products Sales,Retail,to buy additional stocks of personal care products to resell.
1182129,Cereals,Food,to buy more stock of rice to sell.
1267111,Farming,Agriculture,to buy good quality fertilizers and seeds
1172481,Fruits & Vegetables,Food,"to buy a rake, new gloves, a watering hose, insect poison, fertilizer, a new wheelbarrow and a tiller"
964680,Retail,Retail,to buy more items to sell in her store.
1066228,Farming,Agriculture,to buy organic potato seeds so she can expand her crop and earn more income for her family
1242660,Fuel/Firewood,Retail,to buy more gasoline to sell and other supplies needed in her business
875984,Vehicle,Personal Use,to buy a vehicle to transport his merchandise.
658348,General Store,Retail,to purchase more goods to sell in her store.
1231077,Home Appliances,Personal Use,to purchase TerraClear water filters so they can have access to safe drinking water.
1248025,General Store,Retail,"to buy stock of maize and wheat flour, tea leaves, rice, sugar, bread, sodas, salt, detergents, and cooking oil to sell."
1009207,Pharmacy,Health,to remodel her shop and add one more cupboard so that she can stock additional medicines
846131,Cheese Making,Food,"to buy dairy cattle in order to produce a larger quantity of milk and increase her cheese production.
"
934345,Grocery Store,Food,"To buy cooking oils,milks,sardines,candies, biscuits, aqua, cigarettes, including soft drinks and other things to sell."
975081,Personal Expenses,Personal Use,"To buy food and clothing, eliminating the pressure to sell maize for low prices at harvest "
1236825,Clothing Sales,Clothing,to purchase clothes and other stock to sell.
986877,Cereals,Food,to buy 1 bag of rice and 1 bag of corn
1007501,Dairy,Agriculture,to buy dairy feeds so as to increase milk production for increased income
1284073,Tailoring,Services,"to purchase stitching inventory like threads, buttons, laces and cloth."
1081284,Services,Services,"launch the Akron Life+Biz small business support center, to help other small business owners grow their businesses while living a life they love."
693125,Grocery Store,Food,"to purchase groceries like basic grains, frozen food, sweets, and other products."
949600,Agriculture,Agriculture,"to purchase different types of seeds, with packs of insecticides and pesticides, for better crop production"
1231998,Agriculture,Agriculture,buy seeds and fertilizer and to hire workers
1159069,Fruits & Vegetables,Food,to purchase a variety of vegetables and other supplies needed in her business.
833779,General Store,Retail,"to buy additional items to sell like canned goods, condiments, shampoo, groceries, etc."
873043,Manufacturing,Manufacturing,to purchase equipment to produce plastic tables and chairs
776888,Food Stall,Food, To purchase ingredients for food vending
743840,Retail,Retail,"expand his business by buying more products such as: rice, sodas and juices"
1318145,Farming,Agriculture,"to buy rice seed, fertilizer, pesticide, and to pay for plowing fee"
774695,Food,Food,to buy dried fruits.
692678,General Store,Retail,to purchase more groceries to sell in her general store
1021270,Farming,Agriculture,to buy fertilizer and seeds in order to increase her production and hence increase her income
828435,Education provider,Education,To purchase a water filtration system to provide clean drinking water for its students. 
834935,Retail,Retail,"To buy rice, sugar, soap, dairy products and vegetables."
779522,Livestock,Agriculture,to purchase additional cattle and livestock feed
989766,Used Shoes,Clothing,to buy a stock of shoes.
960104,Furniture Making,Manufacturing,to purchase wood wholesale in order to make doors.
1173128,Personal Housing Expenses,Housing,to build a sanitary toilet for her family.
783354,Retail,Retail,to buy various items for her shop.
1088702,Grocery Store,Food,spend the loan to buy more ingredients for making cakes
728275,Milk Sales,Food,to purchase one more buffalo.
1305807,Higher education costs,Education,to cover her higher education expenses in her educational psychology program.
1311699,General Store,Retail,"to buy items to sell like beverages, canned goods, junk foods, and other groceries"
996240,Used Clothing,Clothing,to buy a new stock of second hand clothes to sale.
668221,Clothing Sales,Clothing,To purchase clothes for retail sales
1109177,Fruits & Vegetables,Food,to purchase additional mangoes to sell.
1054686,General Store,Retail,to purchase more stock of groceries to sell.
830346,Agriculture,Agriculture,to purchase seeds and fertilizer. 
658746,Farming,Agriculture,"to buy farm supplies such as fertilizer, improved corn seeds, squash seeds, and insecticide, as well as to pay laborers and prepare his land."
1081363,Agriculture,Agriculture,"expand my business, get more profits, and feed well and contribute towards my children fees "
725525,General Store,Retail,"to purchase more items like sardines, snack foods, noodles and other groceries."
1274395,Fish Selling,Food,to buy more fresh seafood to sell including shrimp and crab and other materials for her business.
1048303,Grocery Store,Food,"to buy more stock of sugar, flour, milk, and other items."
805790,Higher education costs,Education,to pay for her university credential and the monthly payments of the last months of her studies.
705128,Personal Housing Expenses,Housing,to purchase building materials and pay for construction labor
885891,Farming,Agriculture,"to buy seeds, chemicals, rake, spade, bush knives, etc.."
1007165,Personal Housing Expenses,Housing,to buy a measure of land to build.
1116806,Farming,Agriculture,"to buy pesticides and fertilizer, and to pay for fuel charges for her husband's agriculture business."
946137,Pigs,Agriculture,"to buy feed, vitamins, and other supplies to raise her livestock"
1002569,Farming,Agriculture,to pay workers who help him harvest corn.
1176034,Hardware,Retail,"to purchase hardware materials to sell and increase her income,."
1326490,Services,Services,to add float funding to her M-pesa business to better serve her customers.
798553,Clothing Sales,Clothing,to add to her working capital to buy lots of clothing for resale
1231610,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
680637,Farming,Agriculture,To purchase seeds and fertilizers for tomato cultivation.
1287401,Farming,Agriculture,"to buy two bags of seeds, fertilizer and pesticide"
937845,Higher education costs,Education,to pay her university fees for a BSc. in Accounting.
1110897,Food Production/Sales,Food,to buy ingredients for her food-vending business.
924249,Retail,Retail,to purchase additional bags for her inventory to sell.
1324325,Farming,Agriculture,to buy farm inputs.
836062,Tailoring,Services,"to purchase stitching material, such as threads of different colors, laces, zippers, and cloth."
1284553,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
1128775,Tailoring,Services,"to buy thread, needles, a measuring tape, a new sewing machine, a new pair of scissors and material"
1156636,Clothing,Clothing,to purchase bed sheets and warm blankets to sell
965345,Farming,Agriculture,to buy fertilizers and pesticides
1071232,Fish Selling,Food,to buy 30 baskets of fish.
1262243,Farming,Agriculture,to purchase fertilizer and other supplies for her farm.
815093,Poultry,Agriculture,buy chickens in bulk.
1301858,Fish Selling,Food,"to buy more fresh fish to sell, plastic bags, and boxes to hold the fish."
1251736,Farming,Agriculture,to expand her agriculture business through the purchase of seeds and fertilizers.
980947,Food,Food,buy more cashews wholesale.
952478,Fish Selling,Food,to buy more stock of fish.
993034,Agriculture,Agriculture,to gain access to cost-efficient hybrid seeds and fertilizer for maize cultivation.
964646,Fish Selling,Food,"to buy fish, salt, fish nets, bamboo and other materials for her business."
908218,Auto Repair,Services,"to buy vulcanized radial patches, sockets for an impact wrench, and speakers."
1127274,Personal Expenses,Personal Use,to purchase a unit water purifier.
659456,Retail,Retail,to buy spare parts to repair his photocopier.    
1136007,Used Shoes,Clothing,purchase additional used shoes to sell.
1268186,Pigs,Agriculture,to raise pigs to sell 
939867,Food Stall,Food,to pay for more newspapers for her newsstand.
1289308,Food Production/Sales,Food,"to purchase chicken and noodles for selling, and to buy a new motorbike for delivering food for sale."
1197127,Home Appliances,Personal Use,to buy an eco-friendly stove.
1051176,Fish Selling,Food,to buy additional boxes of fish to sell
1148357,Cattle,Agriculture,to buy a cow to expand her animal husbandry business.
726049,Cereals,Food,to purchase more sacks of rice grains for her milling business.
1316231,Farming,Agriculture,	to buy farm inputs.
866457,Crafts,Arts,"to buy clay, paint and other materials"
1054187,Food Production/Sales,Food,To increase her working capital for her salad selling business
824121,General Store,Retail,"to purchase additional stocks like soap, shampoo, canned  goods, eggs, milk, and noodles to sell"
677023,Animal Sales,Agriculture,to purchase livestock for resale
1042734,Pigs,Agriculture,"to buy more pigs and food for them, and to make some adjustments to the pigsties."
1014810,Personal Housing Expenses,Housing,"to invest in the purchase of cement, sand, gravel, etc., to complete the repairs on the walls of his home."
672001,Poultry,Agriculture,to purchase more hens and chicks
896703,Pigs,Agriculture,to buy feeds and other supplies to raise her pigs
1027255,Pigs,Agriculture,to purchase feeds and other supplies to raise her pigs
830919,Personal Housing Expenses,Housing,to buy construction materials.
1084330,Agriculture,Agriculture,buy more chicks to add to my flock.
1127540,General Store,Retail,"to buy rice, sugar, oil and soap"
1064494,General Store,Retail,to buy merchandise.
1319633,Food Production/Sales,Food,to buy more dry cassava to sell.
1334114,Agriculture,Agriculture,to purchase cattle and agricultural supplies to plant basic grains.
820405,Personal Expenses,Personal Use,"to buy food and clothing, thereby eliminating the pressure to sell corn for low prices at harvest."
932510,Grocery Store,Food,to buy fast-moving drinks in her grocery store.
1245367,Tailoring,Services,to buy a juki sewing machine for her tailoring work.
1165936,Personal Expenses,Personal Use,to meet urgent household needs such as food and clothing
1255030,Tailoring,Services,"to buy raw materials for her business like threads, buttons, laces and pearls."
991511,Fuel/Firewood,Retail,to buy sacks of charcoal and to buy the out of stock items in the shop inventory
825113,General Store,Retail,"to purchase additional items to sell like shampoo, soft drinks, coffee, canned goods, spices, etc."
1282624,Dairy,Agriculture,to purchase dairy feed for increased income.
1097234,General Store,Retail, to purchase additional grocery goods to resell.
1111177,Clothing Sales,Clothing,to buy clothing for sale.
1111780,Clothing Sales,Clothing,to buy more stock of clothes
793526,Home Appliances,Personal Use,To buy a water filter.
708112,Fruits & Vegetables,Food,"to buy cabbage, carrots, grapes, mangoes, oranges, sapotas, potatoes, onions and more."
1260919,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
799729,Food Production/Sales,Food,buy condiments
860780,Farming,Agriculture,to plant maize.
685362,Animal Sales,Agriculture,to buy lambs for rearing.
921390,Farming,Agriculture,"to buy certified seeds, fertilizers and farm inputs to enable high production and supply for more income gain"
1285032,Clothing Sales,Clothing,to buy more clothing to sell.
1317694,Farming,Agriculture,to buy seeds and fertilizer to grow his crop well.
874184,Personal Housing Expenses,Housing,to remodel the floor of his house.
891735,Higher education costs,Education,to pay his university fees.
990008,General Store,Retail,to buy groceries.
942023,Pigs,Agriculture,to buy feed and repair cages
797366,Personal Products Sales,Retail,"to buy perfumes, lotions, creams, shampoo, deodorant, etc. all on wholesale."
873061,General Store,Retail,to purchase more groceries to resell.
743804,Shoe Sales,Retail,increase her sales volume by buying large packs of shoes
1107331,Food Production/Sales,Food,"to buy pork, flour, yeast, cooking oil, and a gas oven."
912056,Clothing,Clothing,to purchase bales of Khanga’s for resale
887690,Manufacturing,Manufacturing,To pay for raw materials to manufacture more stoves and  make rugs to sell.
896524,Agriculture,Agriculture,"to buy manure, herbicide, insecticide, fertilizer, pest controls amongst other supplies."
881902,Higher education costs,Education,to cover the tuition fees
1182443,Food,Food,to buy more cocoa for resale
826847,Home Energy,Personal Use,to buy energy-saving stoves
763934,Dairy,Agriculture,To buy dairy meal and medicines.
800814,Pigs,Agriculture,to purchase superior quality feed and renovate the cage.
659572,Pigs,Agriculture,to buy pigs.
847055,Arts,Arts,to buy materials needed for her business.
1303504,Dairy,Agriculture,to buy another dairy cow to grow her milk selling business.
1024715,General Store,Retail,"to buy more stock of sugar, bread, flour, soap and other items."
703956,Livestock,Agriculture,to buy a cow.
729977,Livestock,Agriculture,"to buy additional livestock, feed and vitamins for her business"
918680,General Store,Retail,"to pay for grocery items, toiletries, and beverages needed in her business."
994257,General Store,Retail,"to buy detergent, bath soap, seasoning, shampoo, canned goods, noodles, cooking oil and chips"
1012247,Farming,Agriculture,to purchase farm supplies for potato cultivation.
984655,General Store,Retail,"to buy more groceries, school supplies, and cleaning supplies."
1137981,Motorcycle Transport,Transportation,to purchase spare parts for motorcycle repair and maintenance.
1286541,General Store,Retail,"to buy items to sell like canned goods, beverages, home care products, and other groceries."
661229,Higher education costs,Education,to pay for tuition
1285098,Fishing,Food,to pay for fishing tools and maintenance for her fishing boat.
931647,Farming,Agriculture,"to purchase farm inputs, high-quality seeds, good fertilizer and pesticides."
1266247,Services,Services, Returning Citizens coming out of incarceration with a secure place to reside upon release and a new mattress and box spring to sleep on.
826248,Personal Housing Expenses,Housing,to buy doors to fix in his house.
738504,Retail,Retail,"to purchase wheat flour, maize flour, sugar, rice, beans, and cooking oil for her business. "
814568,Pigs,Agriculture,to buy materials for a pig fence
832060,Food Production/Sales,Food,to buy more maize to sell.
900279,Hardware,Retail,to buy hardware materials like iron bars and iron sheets to sell.
692926,Food Stall,Food,"to purchase ingredients such as vegetables, fish, spices and pork for her food production business"
1031674,Cereals,Food,to buy cereals to sell.
729687,Farming,Agriculture,to purchase additional fertilizer
1138084,Farming,Agriculture, to buy farm inputs
1044179,Farming,Agriculture,to buy seeds and fertilizer to grow corn.
940215,Agriculture,Agriculture,"to buy seeds, fertilizer, manure, pest control, etc."
1011907,Pigs,Agriculture,"to purchase, raise and sell pigs."
1112515,General Store,Retail,"to buy items to sell like soap, personal care products, canned goods, snack foods, noodles, drinks, spices, rice, sugar and other groceries."
1030932,Agriculture,Agriculture,to buy concentrated feed for the shrimp that her husband raises.
785823,Dairy,Agriculture,to buy a cow for her dairy business.
844567,Food,Food,
836026,Furniture Making,Manufacturing,"to buy raw materials for his furniture workshop, like textiles and sponges"
911846,Fruits & Vegetables,Food,to buy more fruit to sell
1275721,Farming,Agriculture,to pay workers for weeding his crop gardens.
1334446,Cattle,Agriculture,to purchase baby beef to raise and sell in the future.
1289967,Food,Food,"to buy beverages to sell, which will expand her business."
1135700,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family..
885877,Charcoal Sales,Retail,to buy additional sacks of charcoal to sell
874573,Personal Housing Expenses,Housing,"to purchase sand, cement, bricks, and equipments to build a toilet"
1234059,Home Energy,Personal Use,to purchase solar lamp.
691282,Dairy,Agriculture,
934624,Fish Selling,Food,to buy more fish to sell.
1077518,Cattle,Agriculture,to buy a new cow to increase her production.
845880,Food Production/Sales,Food,to buy chickens and chicken feed.
665809,Mobile Phones,Retail,to sell other kinds of technologies.
880837,Clothing Sales,Clothing,to start a women's clothes business.
1320130,Restaurant,Food,"to purchase new merchandise for his restaurant including beans, sugar, vegetables, meat, and fish."
1294615,General Store,Retail,to buy more groceries to sell.
1271678,Tailoring,Services,"to purchase a sewing machine and supplies in bulk such as fabric, thread, buttons, accessories, lace, and more."
1171313,Higher education costs,Education,to pay for his university tuition fees.
1118832,Personal Housing Expenses,Housing,to build a sanitary toilet for her family
747027,Home Products Sales,Retail,
734399,Personal Housing Expenses,Housing,"to buy gravel, cement, bricks, and sand for the construction of a trough and to fill in the patio of the house."
788343,Transportation,Transportation,to upkeep and amortize his new vehicle
1000265,Livestock,Agriculture,to buy a dairy cow.
1039941,Photography,Services,to purchase a camera for her husband 
720261,Food,Food,to buy palm nuts and bananas.
1008650,Rickshaw,Transportation,to buy a rickshaw body and seat covers for her husband's transportation services.
710389,Grocery Store,Food,"to buy food products for her grocery store and, in part, to carry out a celebration in her home."
782169,Personal Housing Expenses,Housing,to buy construction tools and pay for repairs
1198896,Fruits & Vegetables,Food,to buy more fruit to sell.
1255155,General Store,Retail,to buy more groceries to sell.
699537,Retail,Retail,to buy additional newspapers to sell to her customers.
1066703,Construction Supplies,Construction,to buy plaster.
712052,Dairy,Agriculture,to purchase a dairy cow.
738622,Agriculture,Agriculture,"To buy manure, herbicide and insecticide. "
1266672,Agriculture,Agriculture,"to buy fertilizers, plant food, herbicides, and insecticides."
992890,Livestock,Agriculture,to purchase some sheep for fattening and resale 
1047089,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.
800090,General Store,Retail,"to purchase additional items to sell, such as biscuits, canned goods, soft drinks, noodles, cooking oil, shampoo, and fabric conditioners"
1026838,Farming,Agriculture,"to buy seeds, composts, and fertilizers for his corn crop."
1057581,Agriculture,Agriculture,to buy manures and fertilizers for his crops.
872620,Retail,Retail,"to purchase clothing, fruit, cheese, and peanuts."
1122692,Beauty Salon,Services," to purchase more hair jelly, best-selling hair shampoos and cosmetics "
716684,Food Market,Food,"to buy wheat flour, maize flour, rice, and sugar for her business"
685038,Tailoring,Services,"to purchase linen, needles, thread, zippers, buttons, and other items"
1200060,Farming,Agriculture,"to buy a truck, which will help them very much in their farming."
864237,Food,Food,"to purchase stock of goods like sugar, rice, maize and wheat flour and cooking fat oil. "
720407,Pigs,Agriculture,to buy feeds and vitamins for her pigs.
892959,Services,Services,to buy a computer for her Internet services business.
1014679,Home Appliances,Personal Use,to purchase TerraClear water filters so they can have access to safe drinking water.
703476,Food Market,Food,to purchase onions
910350,Higher education costs,Education,to pay his university costs.
1012743,Liquor Store / Off-License,Food,"to buy beer, sodas, hard ciders, cookies, and other products."
776076,General Store,Retail,"to purchase additional merchandise like shampoo, fabric conditioners, detergent, soap, cooking oil, cereals, etc. to sell"
687684,Grocery Store,Food,"to buy cold cuts, pasta, chocolates, coffee, cookies, and dairy products."
1291491,Personal Housing Expenses,Housing,to build a sanitary toilet for her family
794099,Retail,Retail,to buy various products.
760195,Waste Management,Services,purchase one Fresh Life toilet.
1120338,Farming,Agriculture,to buy pesticides and fertilizer inputs for her farming.
1099692,Fish Selling,Food,to purchase kilos of fish for resale.
910186,Higher education costs,Education,to buy a new laptop for his studies
1109157,Fishing,Food,to buy fishing boat engine.
1110025,Retail,Retail,"to buy drinks to sell, including wine, beer, fizzy drinks, and more."
1014735,Vehicle Repairs,Services,to purchase a machine to work with metal for repairing vehicles.
654528,Higher education costs,Education,To buy a laptop for educational purposes.
875293,Food Production/Sales,Food,to buy ingredients for her food business
873513,General Store,Retail,"to purchase additional items to sell like coffee, eggs, milk, and sugar, etc"
1150781,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.		
1176818,Clothing Sales,Clothing,"to buy more shirts, treasures, cotes, jackets and others items clothing to sell to her customers."
1273253,Food Stall,Food,"to invest in raw materials to increase production buying: flour, cheese, broth cubes, yeast, and more."
661225,Food Stall,Food,"To buy additional supplies of pork, chicken and beef to sell"
1127863,Clothing,Clothing,"to buy typical clothing such as blouses, skirts, and belts."
1164805,Higher education costs,Education,to buy a laptop.
992715,Pigs,Agriculture,to purchase baby pigs to raise and sell in future.
1144316,Agriculture,Agriculture,to buy mineral fertilizers.
681684,Farming,Agriculture,to buy fertilizer and to pay the plowing fee for her cash crop.
1147440,Food Production/Sales,Food,"to buy powdered juices, raw meat, vegetables, and other raw materials for cooking snack foods to sell."
1174017,Personal Housing Expenses,Housing,to pay the rent on the house were he lives
841291,General Store,Retail,"to buy more stock of food stuffs such as flour, salt and sugar, and washing detergents"
1248563,Personal Medical Expenses,Health,to pay for his mother’s treatment at the medical clinic.
1282817,Home Energy,Personal Use,to purchase a solar energy system to continue one farmer's movement to change a whole state
1258181,Pigs,Agriculture,to purchase pigs and concentrated feed to fatten them and thus have another source of income.
844308,Agriculture,Agriculture,to increase her land for harvesting.
1076096,Farming,Agriculture,to purchase improved farm inputs that will increase farm yields.
717593,Personal Housing Expenses,Housing,to expand and improve her house.
1266691,Farming,Agriculture,"to buy seeds, fertilizer, and poisons to raise corn."
947362,Tailoring,Services,invest in three washing machines as well as fabric and other supplies to make clothing.
1244537,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
1051839,General Store,Retail,"to buy items to sell like canned goods, personal care products, snack foods, sugar, soap, and other groceries."
974191,Clothing Sales,Clothing,"to buy new clothing for children, women and men to stock her business and increase her sales."
1240213,Higher education costs,Education,to pay her examination fee
996653,Farming,Agriculture,to purchase hybrid seeds and fertilizer for the cultivation of maize
1056782,Food Production/Sales,Food,to buy corn and gas in order to sell tortillas.
1155783,Primary/secondary school costs,Education,to pay for his children’s school fees.
881829,Dairy,Agriculture,to build a modern dairy unit
1164638,Clothing Sales,Clothing,"buy merchandise, such as shirts, jackets, sweaters, pants, wallets and watches."
825226,Fish Selling,Food,to buy additional boxes of fish to sell
1323532,Farming,Agriculture,to buy farm inputs.
803317,Fish Selling,Food,to buy more fish to sell in her food stall.
828390,Higher education costs,Education,to pay her son's tuition at University. 
854558,Beauty Salon,Services,to buy furniture and hair salon equipment to go independent and manage her own business.
1291752,Clothing Sales,Clothing,"to buy shoes, shirts, pants, sweaters, polos and blouses."
1224917,Farming,Agriculture,to buy cost-efficient maize seed and fertilizer for the coming harvesting season.
1019844,Home Products Sales,Retail,to boost his retail trade by buying home product goods to sell.
807935,Retail,Retail,"to buy plantains, yucca, cracklings, bags, and oil, among other products"
1148659,General Store,Retail,"to buy stock of sugar, detergents, lotions, rice, bread, etc. to sell."
758760,Clothing Sales,Clothing,To buy more shoes and clothes to sell
1211387,General Store,Retail,"to buy drinks, rice, corn, beans, coffee, detergents, condiments, vegetables amongst others to stock her store."
819659,Utilities,Services,to provide more mobile services in his community
1092144,Home Energy,Personal Use,to buy a solar lamp.
1060967,Agriculture,Agriculture,to buy various seeds and mineral fertilizers.
670317,Transportation,Transportation,to repair his vehicle.
695475,Sewing,Services,to purchase a new sewing machine
1043087,Clothing Sales,Clothing,to buy more stock of clothes
862957,Sewing,Services,to buy fabric to make work uniforms. 
1128827,Personal Housing Expenses,Housing,to build a sanitary toilet for her family.
946723,Food Stall,Food,to purchase more stock of live lobsters to sell.
1210769,Personal Housing Expenses,Housing,to build a clean water sources facility at their home to improve access to water sources for their family.
991425,Fruits & Vegetables,Food,to expand her business.
1223473,Farm Supplies,Agriculture,to purchase natural fertilizers.
1085173,Agriculture,Agriculture,buy farming inputs for my crops to increase yield
1146399,Higher education costs,Education,pay for his tuition fees.
1048704,Personal Housing Expenses,Housing,"to purchase sand, cement, bricks and equipment with which to build a toilet."
1220195,Sewing,Services,to buy an industrial overlock sewing machine.
1216859,Agriculture,Agriculture,to invest in seeds and fertilizers to plant cucumbers.
992449,Hotel,Services,"buy seats, tables, cupboards, and beds for his hotel"
922643,Higher education costs,Education,to pay his higher education costs
1109011,Services,Services,reach my maximum growth potential and continue to grow outside my local community to reach a broader market.
987463,Poultry,Agriculture,"to buy chickens, feed, medicine, and fish."
1276917,Beauty Salon,Services,to buy beauty products such as cosmetics to sell and to use in the beauty salon
1176675,Mobile Phones,Retail,to buy inventory like  mobile phones and accessories.
1295942,Home Appliances,Personal Use,to build a decent latrine.
1082758,Clothing,Clothing,buy addition second hand bags and school bags to my store 
1193646,Pigs,Agriculture,to purchase bags of feed and animal vitamins.
1118184,Sporting Good Sales,Retail,"to purchase the required raw materials like leather pieces, wax, thread and protective gloves for football stitching."
1031076,Butcher Shop,Food,to buy a freezer.
1222254,Farming,Agriculture, to start a horticulture farm.
831951,Health,Health,To ensure that the community has access to safe drinking water via chlorine dispensers 
1319374,Fruits & Vegetables,Food,"to buy cabbage, tomatoes, cucumbers, and garlic"
